system,case_family,case_id,dr_mode,dr_energy_hours,dr_avail_hours_et,dr_fraction,borrow_mw,neue_ppm,eue_mean_mwh,eue_stderr_mwh,is_anchor,ref_base_neue_ppm,reduction,frac_of_achievable,frac_of_dc_penalty_recovered,marginal_return_per_fraction,marginal_return_per_mw,cumulative_return_per_mw
pjm,shed_16h_all,baseline_with_load_added,shed,16.0,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",0.0,0.0,59.83446814944777,1003699.7319999998,3093.621392387507,True,1.0517002801340658,0.0,0.0,0.0,,,
pjm,shed_16h_all,shed_16h_all_0.05,shed,16.0,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",0.05,507.0,52.44957295627624,879821.012,3035.985011620222,False,1.0517002801340658,7.3848951931715305,0.18840624503742195,0.12563027330713117,147.6979038634306,0.014565868231107556,0.014565868231107556
pjm,shed_16h_all,shed_16h_all_0.10,shed,16.0,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",0.1,1017.0,46.23276093465866,775536.429,2873.766036438796,False,1.0517002801340658,13.601707214789116,0.3470119094995943,0.23138936303626487,124.3362404323517,0.012189827493367814,0.013374343377373761
pjm,shed_16h_all,shed_16h_all_0.20,shed,16.0,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",0.2,2035.0,37.16348370089943,623402.861,2585.238649753995,False,1.0517002801340658,22.670984448548346,0.5783907475359036,0.3856739869573792,90.6927723375923,0.008908916732572918,0.011140532898549556
pjm,shed_16h_all,shed_16h_all_0.30,shed,16.0,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",0.3,3051.0,31.23692424900377,523987.15100000007,2330.502779144835,False,1.0517002801340658,28.597543900444002,0.7295913784338438,0.4864953614301095,59.265594518956576,0.005833227806983914,0.009373170731053426
pjm,shed_16h_all,shed_16h_all_0.40,shed,16.0,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",0.4,4067.0,27.36533612954028,459042.779,2108.272257415428,False,1.0517002801340658,32.46913201990749,0.8283648018663228,0.5523579987266525,38.715881194634875,0.0038106182278183948,0.0079835584017476
pjm,shed_16h_all,shed_16h_all_0.50,shed,16.0,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",0.5,5081.0,24.833804860315876,416577.335,1921.3651201012049,False,1.0517002801340658,35.00066328913189,0.8929501870550534,0.5954238726380771,25.315312692244063,0.0024965791609708144,0.006888538336770693
pjm,shed_16h_all,shed_16h_all_0.60,shed,16.0,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",0.6,6100.0,23.17189136301956,388699.388,1767.2850397735117,False,1.0517002801340658,36.66257678642821,0.9353495540619314,0.6236959931512025,16.61913497296315,0.0016309259050994254,0.006010258489578395
pjm,shed_16h_all,shed_16h_all_0.70,shed,16.0,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",0.7,7116.0,22.08846620688826,370525.356,1636.808194432881,False,1.0517002801340658,37.746001942559516,0.9629903072624001,0.6421269924967928,10.83425156131302,0.001066363342648919,0.00530438475865086
pjm,shed_16h_all,shed_16h_all_0.80,shed,16.0,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",0.8,8132.0,21.3724999564343,358515.303,1530.9108949757808,False,1.0517002801340658,38.461968193013476,0.9812563095946041,0.6543068587468085,7.1596625045395905,0.0007046911913916926,0.004729705877153649
pjm,shed_16h_all,shed_16h_all_0.90,shed,16.0,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",0.9,9150.0,20.915303274223557,350846.00800000003,1449.9241587662823,False,1.0517002801340658,38.91916487522421,0.9929204846283324,0.6620845918951893,4.571966822107428,0.000449112654430985,0.004253460642101007
pjm,shed_16h_all,shed_16h_all_1.00,shed,16.0,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",1.0,10167.0,20.637809929839843,346191.166,1390.9046281715769,False,1.0517002801340658,39.196658219607926,1.0,0.6668052499118489,2.7749334438371425,0.0002728548125700238,0.0038552826024990583
pjm,shed_4h_all,baseline_with_load_added,shed,4.0,"[16,17,18,19]",0.0,0.0,59.83446814944777,1003699.7319999998,3093.621392387507,True,1.0517002801340658,0.0,0.0,0.0,,,
pjm,shed_4h_all,shed_4h_all_0.05,shed,4.0,"[16,17,18,19]",0.05,507.0,59.28246120249022,994440.032,3170.6511109313537,False,1.0517002801340658,0.5520069469575546,0.08863536863165158,0.009390625296596795,11.040138939151092,0.0010887710985356105,0.0010887710985356105
pjm,shed_4h_all,shed_4h_all_0.10,shed,4.0,"[16,17,18,19]",0.1,1017.0,58.55487339860705,982235.032,3128.791497785942,False,1.0517002801340658,1.2795947508407224,0.205463632414421,0.02176819495273729,14.551756077663356,0.0014266427527120937,0.0012582052613969738
pjm,shed_4h_all,shed_4h_all_0.20,shed,4.0,"[16,17,18,19]",0.2,2035.0,57.2991577754588,961170.895,3042.7627461416187,False,1.0517002801340658,2.5353103739889704,0.4070930100295315,0.04313016324147055,12.55715623148248,0.0012335123999491632,0.0012458527636309436
pjm,shed_4h_all,shed_4h_all_0.30,shed,4.0,"[16,17,18,19]",0.3,3051.0,56.28667770603738,944186.939,2956.524692971705,False,1.0517002801340658,3.547790443410392,0.5696662252399343,0.0603542597942626,10.124800694214217,0.0009965355013990369,0.0011628287261259888
pjm,shed_4h_all,shed_4h_all_0.40,shed,4.0,"[16,17,18,19]",0.4,4067.0,55.48351955080362,930714.276,2874.649494923946,False,1.0517002801340658,4.350948598644152,0.6986287673800704,0.07401741626588958,8.031581552337595,0.0007905099953088188,0.001069817703133551
pjm,shed_4h_all,shed_4h_all_0.50,shed,4.0,"[16,17,18,19]",0.5,5081.0,54.85655240089142,920197.1479999998,2801.5218194929685,False,1.0517002801340658,4.977915748556356,0.7993004432687386,0.08468324866265732,6.269671499122042,0.0006183107987299842,0.0009797118182555316
pjm,shed_4h_all,shed_4h_all_0.60,shed,4.0,"[16,17,18,19]",0.6,6100.0,54.37966184533964,912197.496,2738.251685270708,False,1.0517002801340658,5.454806304108132,0.8758744255732313,0.09279600981422478,4.768905555517763,0.0004679985824845694,0.0008942305416570708
pjm,shed_4h_all,shed_4h_all_0.70,shed,4.0,"[16,17,18,19]",0.7,7116.0,54.04047322816052,906507.74,2683.6512987673664,False,1.0517002801340658,5.793994921287251,0.9303377041334611,0.09856621474797689,3.391886171791186,0.0003338470641526757,0.0008142207590341836
pjm,shed_4h_all,shed_4h_all_0.80,shed,4.0,"[16,17,18,19]",0.8,8132.0,53.82002610598037,902809.826,2638.8497803302243,False,1.0517002801340658,6.014442043467405,0.9657347440546401,0.10231641451179634,2.2044712218015388,0.00021697551395684453,0.0007396018253157163
pjm,shed_4h_all,shed_4h_all_0.90,shed,4.0,"[16,17,18,19]",0.9,9150.0,53.6851081373284,900546.63,2605.468553996568,False,1.0517002801340658,6.149360012119374,0.987398427731832,0.1046116104262167,1.3491796865196906,0.00013253238570920338,0.000672061203510314
pjm,shed_4h_all,shed_4h_all_1.00,shed,4.0,"[16,17,18,19]",1.0,10167.0,53.60662755399011,899230.1490000001,2582.478752586429,False,1.0517002801340658,6.227840595457664,1.0,0.10594670549204907,0.7848058333829047,7.71687151802266e-05,0.0006125544010482604
pjm,shed_8h_all,baseline_with_load_added,shed,8.0,"[12,13,14,15,16,17,18,19]",0.0,0.0,59.83446814944777,1003699.7319999998,3093.621392387507,True,1.0517002801340658,0.0,0.0,0.0,,,
pjm,shed_8h_all,shed_8h_all_0.05,shed,8.0,"[12,13,14,15,16,17,18,19]",0.05,507.0,52.97723680045916,888672.3659999999,3071.077254942288,False,1.0517002801340658,6.857231348988613,0.1933378490568058,0.11665376772039147,137.14462697977226,0.013525111141989375,0.013525111141989375
pjm,shed_8h_all,shed_8h_all_0.10,shed,8.0,"[12,13,14,15,16,17,18,19]",0.1,1017.0,47.22237674363653,792136.8459999999,2943.2581713464238,False,1.0517002801340658,12.612091405811242,0.3555946271036947,0.2145542284407318,115.09720113645258,0.011284039327103194,0.01240126981889011
pjm,shed_8h_all,shed_8h_all_0.20,shed,8.0,"[12,13,14,15,16,17,18,19]",0.2,2035.0,38.92616575428401,652971.161,2722.505179637723,False,1.0517002801340658,20.908302395163766,0.5895041317377224,0.3556876131053791,82.96210989352524,0.008149519635906212,0.010274350071333547
pjm,shed_8h_all,shed_8h_all_0.30,shed,8.0,"[12,13,14,15,16,17,18,19]",0.3,3051.0,33.58772068087057,563420.839,2530.485078487824,False,1.0517002801340658,26.246747468577205,0.740020197956472,0.44650411030200504,53.384450734134404,0.005254375072257322,0.008602670425623469
pjm,shed_8h_all,shed_8h_all_0.40,shed,8.0,"[12,13,14,15,16,17,18,19]",0.4,4067.0,30.15639919049503,505861.7670000001,2359.711793398213,False,1.0517002801340658,29.678068958952743,0.8367654122577871,0.5048770249290276,34.313214903755366,0.0033772849314719863,0.007297287671244834
pjm,shed_8h_all,shed_8h_all_0.50,shed,8.0,"[12,13,14,15,16,17,18,19]",0.5,5081.0,27.94801449416975,468816.98,2211.2441321644324,False,1.0517002801340658,31.88645365527802,0.8990302426751641,0.542445597767159,22.083846963252793,0.0021778941778355806,0.006275625596394021
pjm,shed_8h_all,shed_8h_all_0.60,shed,8.0,"[12,13,14,15,16,17,18,19]",0.6,6100.0,26.52263439685677,444906.78800000006,2085.7258217802028,False,1.0517002801340658,33.311833752591,0.939218462683742,0.5666938621646759,14.253800973129817,0.0013988028432904626,0.00546095635288377
pjm,shed_8h_all,shed_8h_all_0.70,shed,8.0,"[12,13,14,15,16,17,18,19]",0.7,7116.0,25.608156142223656,429566.774,1976.182841624341,False,1.0517002801340658,34.22631200722412,0.9650019385155827,0.5822507725957429,9.144782546331138,0.0009000770222766867,0.004809768410233855
