case_id,scope,total_eue_mwh,n_nonzero_hours,share_top1,share_top10,share_top100,hours_to_50pct,hours_to_90pct
baseline_with_load_added,system,804376.4800000001,1023,0.012867829004647176,0.11529449493600309,0.6594077104293252,63,211
baseline_with_load_added,p61,5.812,9,0.3731933929800413,1.0,1.0,2,4
baseline_with_load_added,p63,421769.83699999994,342,0.02454082319784286,0.21988338630294232,0.959292719645099,27,71
baseline_with_load_added,p64,171396.37,268,0.03369491430886196,0.26635401321509905,0.9831079561369936,23,65
baseline_with_load_added,p65,199873.888,261,0.033153004958806825,0.26322292784938467,0.9725106012847461,24,67
baseline_with_load_added,p67,11330.573000000002,143,0.13675804392240354,0.6018985977143432,0.9983367125387215,7,31
baseline,system,10168.269999999997,86,0.2032697794216716,0.8638641578164232,1.0,3,14
baseline,p63,5083.679999999999,36,0.40657594498473554,0.935490235420011,1.0,2,8
baseline,p64,2211.9,23,0.4596708711967087,0.9885627740856276,1.0,2,3
baseline,p65,2765.343,23,0.6287668473675779,0.9883139270607662,1.0,1,3
baseline,p67,107.347,4,0.8651289742610413,1.0,1.0,1,2
shift_8h_all_1.00,system,627149.499,2237,0.01787869721315045,0.15154272171394975,0.6963484682621106,55,208
shift_8h_all_1.00,p60,1981.406,223,0.15206121309817372,0.7218994996482297,1.0,6,22
shift_8h_all_1.00,p61,5513.872,235,0.14099728829396113,0.7028015884300541,1.0,6,22
shift_8h_all_1.00,p62,3841.58,196,0.13646494411153745,0.772447274298596,1.0,5,17
shift_8h_all_1.00,p63,302959.87799999997,460,0.03701023407462556,0.30327400316684844,0.9862195844956079,20,60
shift_8h_all_1.00,p64,99747.889,406,0.04698026240936287,0.3465697905646906,0.9863385981030637,18,59
shift_8h_all_1.00,p65,128767.78899999999,395,0.05178638269544257,0.347614875953178,0.9849261759087904,18,59
shift_8h_all_1.00,p67,84337.08499999999,322,0.11210949489183791,0.6092676786256012,0.9997974200791979,8,26
