case_id,region,event_id,start_hour_idx,end_hour_idx,duration_h,n_hours_above_eps,weather_year,calendar_year,month,season,start_hour_local,start_hour_et_fixed,total_eue_mwh,peak_eue_mwh,dr_energy_mwh,dr_shortfall_mwh,max_concurrent_regions,is_multiregion
baseline,p63,baseline|p63|0,402,406,5,5,2007,2007,1,winter,12,13,37.944,12.804,0.0,0.0,3,True
baseline,p63,baseline|p63|1,26475,26480,6,6,2010,2010,1,winter,21,22,3966.8579999999997,2066.902,0.0,0.0,4,True
baseline,p63,baseline|p63|2,35857,35864,8,8,2011,2011,2,winter,19,20,180.977,86.583,0.0,0.0,4,True
baseline,p63,baseline|p63|3,78885,78888,4,4,2018,2015,12,winter,15,16,52.312,19.307,0.0,0.0,3,True
baseline,p63,baseline|p63|4,79231,79232,2,2,2018,2016,1,winter,1,2,46.942,44.793,0.0,0.0,1,False
baseline,p63,baseline|p63|5,122451,122456,6,6,2022,2020,12,winter,21,22,649.071,400.912,0.0,0.0,3,True
baseline,p63,baseline|p63|6,128275,128275,1,1,2023,2021,8,summer,13,14,24.192,24.192,0.0,0.0,3,True
baseline,p63,baseline|p63|7,128299,128299,1,1,2023,2021,8,summer,13,14,73.902,73.902,0.0,0.0,3,True
baseline,p63,baseline|p63|8,128323,128323,1,1,2023,2021,8,summer,13,14,47.953,47.953,0.0,0.0,3,True
baseline,p63,baseline|p63|9,128611,128611,1,1,2023,2021,9,fall,13,14,0.996,0.996,0.0,0.0,1,False
baseline,p63,baseline|p63|10,128635,128635,1,1,2023,2021,9,fall,13,14,2.533,2.533,0.0,0.0,1,False
baseline,p65,baseline|p65|0,402,406,5,5,2007,2007,1,winter,12,13,28.621000000000002,11.177,0.0,0.0,3,True
baseline,p65,baseline|p65|1,26476,26480,5,5,2010,2010,1,winter,22,23,2557.58,1738.756,0.0,0.0,4,True
baseline,p65,baseline|p65|2,35859,35863,5,4,2011,2011,2,winter,21,22,6.664,3.06,0.0,0.0,4,True
baseline,p65,baseline|p65|3,78886,78888,3,3,2018,2015,12,winter,16,17,6.471000000000001,2.438,0.0,0.0,3,True
baseline,p65,baseline|p65|4,122453,122455,3,3,2022,2020,12,winter,23,0,108.413,91.595,0.0,0.0,3,True
baseline,p65,baseline|p65|5,128275,128275,1,1,2023,2021,8,summer,13,14,4.831,4.831,0.0,0.0,3,True
baseline,p65,baseline|p65|6,128299,128299,1,1,2023,2021,8,summer,13,14,25.797,25.797,0.0,0.0,3,True
baseline,p65,baseline|p65|7,128323,128323,1,1,2023,2021,8,summer,13,14,26.966,26.966,0.0,0.0,3,True
baseline,p64,baseline|p64|0,403,406,4,4,2007,2007,1,winter,13,14,22.144000000000002,9.829,0.0,0.0,3,True
baseline,p64,baseline|p64|1,26476,26480,5,5,2010,2010,1,winter,22,23,2089.204,1016.746,0.0,0.0,4,True
baseline,p64,baseline|p64|2,35860,35863,4,4,2011,2011,2,winter,22,23,19.903,12.44,0.0,0.0,4,True
baseline,p64,baseline|p64|3,78886,78888,3,3,2018,2015,12,winter,16,17,3.0250000000000004,1.062,0.0,0.0,3,True
baseline,p64,baseline|p64|4,122454,122455,2,2,2022,2020,12,winter,0,1,62.917,51.557,0.0,0.0,3,True
baseline,p64,baseline|p64|5,128275,128275,1,1,2023,2021,8,summer,13,14,9.658,9.658,0.0,0.0,3,True
baseline,p64,baseline|p64|6,128299,128299,1,1,2023,2021,8,summer,13,14,1.074,1.074,0.0,0.0,3,True
baseline,p64,baseline|p64|7,128323,128323,1,1,2023,2021,8,summer,13,14,3.845,3.845,0.0,0.0,3,True
baseline,p67,baseline|p67|0,26477,26479,3,3,2010,2010,1,winter,23,0,107.04599999999999,92.869,0.0,0.0,4,True
baseline,p67,baseline|p67|1,35863,35863,1,1,2011,2011,2,winter,1,2,0.301,0.301,0.0,0.0,4,True
baseline_with_load_added,p63,baseline_with_load_added|p63|0,379,408,30,30,2007,2007,1,winter,13,14,66646.74299999999,8553.762,0.0,0.0,5,True
baseline_with_load_added,p63,baseline_with_load_added|p63|1,413,419,7,7,2007,2007,1,winter,23,0,2297.2640000000006,1024.228,0.0,0.0,4,True
baseline_with_load_added,p63,baseline_with_load_added|p63|2,1111,1111,1,1,2007,2007,2,winter,1,2,4.393,4.393,0.0,0.0,1,False
baseline_with_load_added,p63,baseline_with_load_added|p63|3,5395,5396,2,2,2007,2007,8,summer,13,14,169.336,165.298,0.0,0.0,4,True
baseline_with_load_added,p63,baseline_with_load_added|p63|4,5419,5420,2,2,2007,2007,8,summer,13,14,183.291,179.144,0.0,0.0,4,True
baseline_with_load_added,p63,baseline_with_load_added|p63|5,13963,13963,1,1,2008,2008,8,summer,13,14,3.718,3.718,0.0,0.0,4,True
baseline_with_load_added,p63,baseline_with_load_added|p63|6,21716,21716,1,1,2009,2009,6,summer,14,15,7.926,7.926,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|7,26466,26480,15,15,2010,2010,1,winter,12,13,43720.524,8542.457,0.0,0.0,4,True
baseline_with_load_added,p63,baseline_with_load_added|p63|8,26503,26504,2,2,2010,2010,1,winter,1,2,5.565,4.355,0.0,0.0,1,False
baseline_with_load_added,p63,baseline_with_load_added|p63|9,31603,31603,1,1,2010,2010,8,summer,13,14,0.376,0.376,0.0,0.0,2,True
baseline_with_load_added,p63,baseline_with_load_added|p63|10,31627,31628,2,2,2010,2010,8,summer,13,14,83.237,82.431,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|11,31771,31771,1,1,2010,2010,8,summer,13,14,67.238,67.238,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|12,31891,31891,1,1,2010,2010,8,summer,13,14,41.212,41.212,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|13,31915,31915,1,1,2010,2010,8,summer,13,14,683.187,683.187,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|14,35838,35843,6,6,2011,2011,2,winter,0,1,1855.467,858.028,0.0,0.0,4,True
baseline_with_load_added,p63,baseline_with_load_added|p63|15,35848,35864,17,17,2011,2011,2,winter,10,11,90635.262,8840.874,0.0,0.0,4,True
baseline_with_load_added,p63,baseline_with_load_added|p63|16,36006,36008,3,3,2011,2011,2,winter,0,1,1908.3329999999999,1600.597,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|17,36029,36032,4,4,2011,2011,2,winter,23,0,1590.74,1378.858,0.0,0.0,4,True
baseline_with_load_added,p63,baseline_with_load_added|p63|18,40147,40148,2,2,2011,2011,7,summer,13,14,62.36,38.376,0.0,0.0,4,True
baseline_with_load_added,p63,baseline_with_load_added|p63|19,40171,40172,2,2,2011,2011,8,summer,13,14,3.989,3.851,0.0,0.0,2,True
baseline_with_load_added,p63,baseline_with_load_added|p63|20,40195,40195,1,1,2011,2011,8,summer,13,14,1.8,1.8,0.0,0.0,2,True
baseline_with_load_added,p63,baseline_with_load_added|p63|21,40651,40651,1,1,2011,2011,8,summer,13,14,14.699,14.699,0.0,0.0,2,True
baseline_with_load_added,p63,baseline_with_load_added|p63|22,40675,40675,1,1,2011,2011,8,summer,13,14,9.501,9.501,0.0,0.0,1,False
baseline_with_load_added,p63,baseline_with_load_added|p63|23,40747,40747,1,1,2011,2011,8,summer,13,14,59.865,59.865,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|24,40771,40771,1,1,2011,2011,8,summer,13,14,60.51,60.51,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|25,40795,40795,1,1,2011,2011,8,summer,13,14,111.451,111.451,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|26,40891,40891,1,1,2011,2011,8,summer,13,14,1.011,1.011,0.0,0.0,2,True
baseline_with_load_added,p63,baseline_with_load_added|p63|27,48043,48044,2,2,2012,2012,6,summer,13,14,252.655,242.061,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|28,48067,48068,2,2,2012,2012,6,summer,13,14,9.861,5.531,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|29,49051,49051,1,1,2012,2012,8,summer,13,14,6.6,6.6,0.0,0.0,1,False
baseline_with_load_added,p63,baseline_with_load_added|p63|30,49123,49123,1,1,2012,2012,8,summer,13,14,7.469,7.469,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|31,49795,49795,1,1,2012,2012,9,fall,13,14,4.507,4.507,0.0,0.0,1,False
baseline_with_load_added,p63,baseline_with_load_added|p63|32,58339,58339,1,1,2013,2013,8,summer,13,14,7.485,7.485,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|33,58363,58363,1,1,2013,2013,8,summer,13,14,1.989,1.989,0.0,0.0,2,True
baseline_with_load_added,p63,baseline_with_load_added|p63|34,58459,58459,1,1,2013,2013,9,fall,13,14,8.349,8.349,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|35,60742,60751,10,10,2013,2013,12,winter,16,17,2473.179,543.446,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|36,78866,78891,26,26,2018,2015,12,winter,20,21,84262.20199999999,10350.579,0.0,0.0,4,True
baseline_with_load_added,p63,baseline_with_load_added|p63|37,78894,78895,2,2,2018,2016,1,winter,0,1,35.068,34.775,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|38,79226,79232,7,7,2018,2016,1,winter,20,21,35972.677,9846.046,0.0,0.0,5,True
baseline_with_load_added,p63,baseline_with_load_added|p63|39,79249,79256,8,8,2018,2016,1,winter,19,20,1629.763,980.653,0.0,0.0,4,True
baseline_with_load_added,p63,baseline_with_load_added|p63|40,93571,93571,1,1,2019,2017,9,fall,13,14,0.616,0.616,0.0,0.0,2,True
baseline_with_load_added,p63,baseline_with_load_added|p63|41,101779,101779,1,1,2020,2018,8,summer,13,14,0.551,0.551,0.0,0.0,1,False
baseline_with_load_added,p63,baseline_with_load_added|p63|42,101803,101803,1,1,2020,2018,8,summer,13,14,146.343,146.343,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|43,101827,101827,1,1,2020,2018,8,summer,13,14,2.959,2.959,0.0,0.0,1,False
baseline_with_load_added,p63,baseline_with_load_added|p63|44,101851,101851,1,1,2020,2018,8,summer,13,14,0.183,0.183,0.0,0.0,1,False
baseline_with_load_added,p63,baseline_with_load_added|p63|45,102043,102043,1,1,2020,2018,8,summer,13,14,0.106,0.106,0.0,0.0,1,False
baseline_with_load_added,p63,baseline_with_load_added|p63|46,102067,102067,1,1,2020,2018,8,summer,13,14,0.658,0.658,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|47,106157,106160,4,4,2021,2019,2,winter,23,0,7.386,4.341,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|48,106171,106182,12,12,2021,2019,2,winter,13,14,55.315000000000005,18.554,0.0,0.0,4,True
baseline_with_load_added,p63,baseline_with_load_added|p63|49,106194,106203,10,10,2021,2019,2,winter,12,13,524.4590000000001,104.019,0.0,0.0,4,True
baseline_with_load_added,p63,baseline_with_load_added|p63|50,106206,106207,2,2,2021,2019,2,winter,0,1,2.6639999999999997,1.531,0.0,0.0,2,True
baseline_with_load_added,p63,baseline_with_load_added|p63|51,106227,106231,5,5,2021,2019,2,winter,21,22,1174.666,674.722,0.0,0.0,4,True
baseline_with_load_added,p63,baseline_with_load_added|p63|52,110084,110084,1,1,2021,2019,7,summer,14,15,0.122,0.122,0.0,0.0,1,False
baseline_with_load_added,p63,baseline_with_load_added|p63|53,110107,110108,2,2,2021,2019,7,summer,13,14,1.336,0.917,0.0,0.0,2,True
baseline_with_load_added,p63,baseline_with_load_added|p63|54,110132,110132,1,1,2021,2019,7,summer,14,15,3.359,3.359,0.0,0.0,2,True
baseline_with_load_added,p63,baseline_with_load_added|p63|55,110779,110779,1,1,2021,2019,8,summer,13,14,4.673,4.673,0.0,0.0,1,False
baseline_with_load_added,p63,baseline_with_load_added|p63|56,110803,110803,1,1,2021,2019,8,summer,13,14,241.56,241.56,0.0,0.0,4,True
baseline_with_load_added,p63,baseline_with_load_added|p63|57,110923,110923,1,1,2021,2019,8,summer,13,14,54.614,54.614,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|58,110947,110947,1,1,2021,2019,8,summer,13,14,1.271,1.271,0.0,0.0,1,False
baseline_with_load_added,p63,baseline_with_load_added|p63|59,114727,114727,1,1,2022,2020,2,winter,1,2,0.89,0.89,0.0,0.0,1,False
baseline_with_load_added,p63,baseline_with_load_added|p63|60,118436,118436,1,1,2022,2020,7,summer,14,15,0.291,0.291,0.0,0.0,1,False
baseline_with_load_added,p63,baseline_with_load_added|p63|61,118532,118532,1,1,2022,2020,7,summer,14,15,4.075,4.075,0.0,0.0,1,False
baseline_with_load_added,p63,baseline_with_load_added|p63|62,122444,122456,13,13,2022,2020,12,winter,14,15,50301.227,7809.857,0.0,0.0,5,True
baseline_with_load_added,p63,baseline_with_load_added|p63|63,123395,123416,22,22,2023,2021,1,winter,5,6,8423.699999999999,1248.828,0.0,0.0,3,True
baseline_with_load_added,p63,baseline_with_load_added|p63|64,127460,127460,1,1,2023,2021,7,summer,14,15,0.881,0.881,0.0,0.0,1,False
baseline_with_load_added,p63,baseline_with_load_added|p63|65,127484,127484,1,1,2023,2021,7,summer,14,15,0.197,0.197,0.0,0.0,1,False
baseline_with_load_added,p63,baseline_with_load_added|p63|66,127699,127700,2,2,2023,2021,7,summer,13,14,9.547,6.311,0.0,0.0,2,True
baseline_with_load_added,p63,baseline_with_load_added|p63|67,127723,127724,2,2,2023,2021,7,summer,13,14,235.776,143.6,0.0,0.0,2,True
