region,added_peak_mw,added_min_mw,added_mean_mw,added_load_factor,added_ever_negative,base_peak_mw,high_peak_mw,added_share_of_base_peak
p100,159.0,119.0,132.73979,0.83484143,False,1225.0,1380.0,0.12979592
p109,181.0,132.0,150.13535,0.8294771,False,15593.0,15741.0,0.011607773
p110,16.0,12.0,13.287702,0.83048135,False,1381.0,1394.0,0.011585807
p111,480.0,353.0,420.55707,0.87616056,False,17797.0,18162.0,0.026970837
p112,464.0,341.0,406.73874,0.8765921,False,17212.0,17565.0,0.026957937
p113,116.0,86.0,102.07595,0.87996507,False,4320.0,4409.0,0.026851851
p114,181.0,133.0,158.48904,0.8756301,False,6706.0,6843.0,0.026990755
p115,329.0,199.0,282.65128,0.8591224,False,7879.0,8126.0,0.041756567
p116,43.0,28.0,37.200397,0.86512554,False,4998.0,5031.0,0.0086034415
p117,28.0,18.0,24.08933,0.86033326,False,3237.0,3258.0,0.008649984
p118,749.0,562.0,625.79297,0.83550465,False,5773.0,6503.0,0.1297419
p120,24.0,14.0,20.216202,0.8423417,False,564.0,582.0,0.04255319
p121,83.0,47.0,69.679146,0.83950776,False,1655.0,1713.0,0.050151058
p123,989.0,562.0,826.88855,0.8360855,False,19639.0,20323.0,0.05035898
p124,30.0,22.0,24.677832,0.8225944,False,227.0,256.0,0.13215859
p125,9.0,6.0,6.996895,0.77743274,False,3853.0,3861.0,0.0023358422
p126,157.0,-124.0,-23.993067,-0.15282208,True,25869.0,25962.0,0.0060690404
p99,4696.0,3521.0,3922.4492,0.8352745,False,36181.0,40754.0,0.12979189
z122,1433.0,866.0,1231.0215,0.859052,False,34315.0,35390.0,0.04176016
