case_id,scope,total_eue_mwh,n_nonzero_hours,share_top1,share_top10,share_top100,hours_to_50pct,hours_to_90pct
baseline_with_load_added,system,1003699.732,7855,0.014235128838312771,0.10488025516380232,0.44232972456348135,125,627
baseline_with_load_added,p100,102.355,10,0.25383225050070835,1.0,1.0,3,5
baseline_with_load_added,p109,13.836,6,0.3525585429314831,1.0,1.0,2,4
baseline_with_load_added,p111,1848.4349999999997,25,0.3361091950758344,0.9599250176500662,1.0,2,7
baseline_with_load_added,p112,46.226,14,0.511119283520097,0.983277809025224,1.0,1,8
baseline_with_load_added,p113,14831.149999999998,51,0.14340014091961853,0.7453194796087965,1.0,5,17
baseline_with_load_added,p114,179.839,22,0.22363336095062808,0.970228926984692,1.0,3,7
baseline_with_load_added,p117,4.871999999999999,11,0.3261494252873564,0.9917898193760263,1.0,2,6
baseline_with_load_added,p118,9798.439,57,0.15448817918854216,0.7414139129712395,1.0,6,18
baseline_with_load_added,p120,3.3070000000000004,11,0.4372543090414272,0.9966737224070154,1.0,2,5
baseline_with_load_added,p123,3534.972,27,0.34865792430604825,0.9735007802041995,1.0,2,6
baseline_with_load_added,p124,24353.903,4262,0.0042988181401560155,0.03504074890993859,0.2399247874149782,329,1473
baseline_with_load_added,p125,3919.1000000000004,65,0.09548416728330483,0.7237947487943659,1.0,6,18
baseline_with_load_added,p126,12716.167000000001,116,0.18488912578766856,0.6937959370933081,0.9998197570069659,7,20
baseline_with_load_added,p99,932347.1310000002,3178,0.015324544394398953,0.11290674953554394,0.4761812539969085,110,485
baseline,system,16476.65,1884,0.11696091135030481,0.5605407652647838,0.8606852121031884,8,195
baseline,p100,2.8179999999999996,4,0.5539389638041164,1.0,1.0,1,3
baseline,p111,92.018,10,0.7798039514008129,1.0,1.0,1,4
baseline,p112,2.283,2,0.7424441524310119,1.0,1.0,1,2
baseline,p113,2220.981,29,0.40308044058008596,0.978043035937723,1.0,2,7
baseline,p114,15.667,4,0.7570689985319462,1.0,1.0,1,3
baseline,p117,1.258,3,0.7042925278219396,1.0,1.0,1,2
baseline,p118,771.098,24,0.4263491800004669,0.9668926647455965,1.0,2,8
baseline,p120,0.008,1,1.0,1.0,1.0,1,1
baseline,p123,35.186,5,0.8436025692036605,1.0,1.0,1,2
baseline,p124,2858.581,1605,0.019786040696415458,0.17003926073810746,0.4590991124617423,121,572
baseline,p125,51.889,18,0.3539863940334174,0.969839465011852,1.0,2,7
baseline,p126,667.5799999999999,71,0.26016507384882714,0.8708529314838674,1.0,2,14
baseline,p99,9757.283,108,0.19750621151400446,0.8813668723147624,0.999966384084586,3,11
shed_16h_all_1.00,system,346191.16599999997,8481,0.04160790746462896,0.3033785905443931,0.8807767238058293,22,114
shed_16h_all_1.00,p100,113.22299999999998,70,0.2834141473022266,1.0000000000000002,1.0,2,4
shed_16h_all_1.00,p109,0.5740000000000001,22,0.5348432055749128,1.0,1.0,1,2
shed_16h_all_1.00,p111,1381.743,44,0.42136779415564257,0.9959775443045487,1.0,2,5
shed_16h_all_1.00,p112,30.958,38,0.6441953614574586,1.0,1.0,1,4
shed_16h_all_1.00,p113,7790.543,51,0.2704717758441228,0.9583362802823885,1.0,2,8
shed_16h_all_1.00,p114,88.051,34,0.4886145529295522,0.9976945179498246,1.0,2,3
shed_16h_all_1.00,p117,2.3540000000000005,35,0.5174171622769752,1.0,1.0,1,3
shed_16h_all_1.00,p118,6418.982,233,0.237267217761321,0.934882509407255,1.0,3,9
shed_16h_all_1.00,p120,2.1399999999999997,33,0.6738317757009347,1.0000000000000002,1.0,1,3
shed_16h_all_1.00,p123,3469.383,72,0.35461780956440964,0.9947699634200088,1.0,2,5
shed_16h_all_1.00,p124,14517.038999999999,4251,0.007293911657880095,0.05466107792367301,0.3069634930373886,245,1234
shed_16h_all_1.00,p125,1588.1079999999997,95,0.22643359267757612,0.8932717422240807,1.0,3,11
shed_16h_all_1.00,p126,7447.547999999999,112,0.31618137942850455,0.8819148261951452,1.0,3,11
shed_16h_all_1.00,p99,303339.91599999997,3245,0.04748563983910381,0.3462353038958448,0.9675347869483817,18,68
shed_16h_all_1.00,z122,0.604,50,1.0,1.0,1.0,1,1
