region,nodr_eue,case_eue,load,dneue_ppm,category
p124,24353.922,18907.232,22996172.0,-236.85202911162776,value
p99,932347.2,364316.72,3654916600.0,-155.41544197114553,value
p113,14831.151,9234.522,328775680.0,-17.02263683250537,value
p125,3919.1003,2213.9941,258986860.0,-6.58375553750093,value
p118,9798.439,7432.487,583109300.0,-4.057475933431843,value
p126,12716.168,9214.913,1824293600.0,-1.9192387336031653,value
p111,1848.435,1514.818,1354601900.0,-0.24628417458775426,value
p114,179.839,103.92901,510494340.0,-0.14869898576112703,value
p123,3534.9717,3485.665,1503455500.0,-0.03279558350316793,value
p120,3.307,2.302,43246748.0,-0.023238741558093568,value
p109,13.8359995,2.622,1123909900.0,-0.009977667800356606,value
p112,46.225998,33.396,1310099300.0,-0.00979314905808424,value
p117,4.872,2.7410002,262161950.0,-0.00812856245440223,value
p115,0.0,0.0,604805100.0,0.0,no_eue
p116,0.0,0.0,404781700.0,0.0,no_eue
p110,0.0,0.0,99486340.0,0.0,no_eue
p121,0.0,0.0,126688130.0,0.0,no_eue
z122,0.0,0.604,2634114000.0,0.00022929910740144231,value
p100,102.355,111.591995,123685440.0,0.07468134486969519,value
