region,nodr_eue,case_eue,load,dneue_ppm,category
p124,24353.922,10816.596,22996172.0,-588.6773676940667,value
p99,932347.2,77612.59,3654916600.0,-233.8588541607568,value
p113,14831.151,3638.3943,328775680.0,-34.04374891719485,value
p118,9798.439,1712.7062,583109300.0,-13.866581502989272,value
p125,3919.1003,879.35,258986860.0,-11.737082927881625,value
p126,12716.168,3872.8604,1824293600.0,-4.847524238904979,value
p123,3534.9717,802.99194,1503455500.0,-1.8171337840099726,value
p111,1848.435,584.298,1354601900.0,-0.9332166454672273,value
p100,102.355,27.248001,123685440.0,-0.6072420407769904,value
p114,179.839,27.433002,510494340.0,-0.29854591373957967,value
p120,3.307,0.37100002,43246748.0,-0.06788949726347054,value
p112,46.225998,5.6,1310099300.0,-0.03100986095613049,value
p117,4.872,0.977,262161950.0,-0.014857228405134853,value
p109,13.8359995,0.90400004,1123909900.0,-0.011506260064152047,value
p115,0.0,0.0,604805100.0,0.0,no_eue
p110,0.0,0.0,99486340.0,0.0,no_eue
p121,0.0,0.0,126688130.0,0.0,no_eue
p116,0.0,0.0,404781700.0,0.0,no_eue
z122,0.0,0.0,2634114000.0,0.0,no_eue
