region,nodr_eue,case_eue,load,dneue_ppm,category
p124,24353.922,20214.682,22996172.0,-179.99691426903564,value
p99,932347.2,407541.7,3654916600.0,-143.5889122206752,value
p113,14831.151,4387.153,328775680.0,-31.766333811552,value
p125,3919.1003,1486.3436,258986860.0,-9.393359425364524,value
p126,12716.168,6621.1143,1824293600.0,-3.341048608122313,value
p110,0.0,25.880997,99486340.0,0.2601462476213819,value
p109,13.8359995,345.89703,1123909900.0,0.29545164967887527,value
p116,0.0,248.90799,404781700.0,0.6149190846811413,value
p117,4.872,199.16902,262161950.0,0.7411335570159318,value
p114,179.839,955.151,510494340.0,1.5187475067304173,value
p111,1848.435,4331.8115,1354601900.0,1.8332888656547064,value
p115,0.0,1221.659,604805100.0,2.019921722884886,value
p112,46.225998,2758.1658,1310099300.0,2.0700260995783064,value
p120,3.307,94.12499,43246748.0,2.099995819338832,value
z122,0.0,8808.923,2634114000.0,3.344169173953701,value
p121,0.0,499.89606,126688130.0,3.9458792855475773,value
p123,3534.9717,11212.29,1503455500.0,5.106448685230381,value
p100,102.355,1875.6223,123685440.0,14.336912250948858,value
p118,9798.439,28327.496,583109300.0,31.776300975965206,value
