region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p124,24353.922,17939.875,30.0,-6414.046999999999,-213.80156666666662,value
p125,3919.1003,2040.3059,9.0,-1878.7944,-208.75493333333333,value
p99,932347.2,338777.8,4696.0,-593569.3999999999,-126.3989352640545,value
p113,14831.151,8823.577,116.0,-6007.5740000000005,-51.78943103448276,value
p126,12716.168,8724.932,157.0,-3991.235999999999,-25.421885350318465,value
p118,9798.439,7171.8936,749.0,-2626.5454,-3.506736181575434,value
p111,1848.435,1482.764,480.0,-365.67100000000005,-0.7618145833333334,value
p114,179.839,97.461,181.0,-82.378,-0.45512707182320444,value
p117,4.872,2.201,28.0,-2.671,-0.09539285714285714,value
p109,13.8359995,1.977,181.0,-11.8589995,-0.06551933425414365,value
p123,3534.9717,3489.954,989.0,-45.01769999999988,-0.045518402426693506,value
p120,3.307,2.216,24.0,-1.0909999999999997,-0.04545833333333332,value
p112,46.225998,31.205,464.0,-15.020997999999999,-0.032372840517241375,value
p115,0.0,0.0,329.0,0.0,0.0,no_eue
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
z122,0.0,0.604,1433.0,0.604,0.000421493370551291,value
p100,102.355,112.69501,159.0,10.340009999999992,0.06503150943396221,value
