region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p124,24353.922,10816.596,30.0,-13537.326,-451.2442,value
p125,3919.1003,879.35,9.0,-3039.7503,-337.75003333333336,value
p99,932347.2,77612.59,4696.0,-854734.61,-182.01333262350937,value
p113,14831.151,3638.3943,116.0,-11192.7567,-96.48928189655172,value
p126,12716.168,3872.8604,157.0,-8843.3076,-56.3268,value
p118,9798.439,1712.7062,749.0,-8085.7328,-10.795370894526034,value
p123,3534.9717,802.99194,989.0,-2731.97976,-2.7623657836198183,value
p111,1848.435,584.298,480.0,-1264.137,-2.6336187499999997,value
p114,179.839,27.433002,181.0,-152.405998,-0.8420220883977901,value
p100,102.355,27.248001,159.0,-75.106999,-0.4723710628930818,value
p117,4.872,0.977,28.0,-3.895,-0.13910714285714285,value
p120,3.307,0.37100002,24.0,-2.93599998,-0.1223333325,value
p112,46.225998,5.6,464.0,-40.625997999999996,-0.08755603017241378,value
p109,13.8359995,0.90400004,181.0,-12.93199946,-0.07144751082872929,value
p115,0.0,0.0,329.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
p116,0.0,0.0,43.0,0.0,0.0,no_eue
z122,0.0,0.0,1433.0,0.0,0.0,no_eue
