region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,1201.088,9.0,-2718.0123000000003,-302.0013666666667,value
p113,14831.151,4405.8174,116.0,-10425.3336,-89.87356551724137,value
p99,932347.2,552651.5,4696.0,-379695.69999999995,-80.85513202725723,value
p124,24353.922,21933.625,30.0,-2420.2969999999987,-80.67656666666662,value
p126,12716.168,6018.234,157.0,-6697.933999999999,-42.66199999999999,value
p110,0.0,53.032005,16.0,53.032005,3.3145003125,value
p109,13.8359995,736.40497,181.0,722.5689705000001,3.9920937596685087,value
p120,3.307,171.94402,24.0,168.63702,7.026542500000001,value
p115,0.0,2359.23,329.0,2359.23,7.170911854103344,value
p114,179.839,1703.7461,181.0,1523.9071000000001,8.419376243093923,value
p111,1848.435,6257.417,480.0,4408.982,9.185379166666667,value
p121,0.0,806.2761,83.0,806.2761,9.714169879518073,value
p116,0.0,425.75894,43.0,425.75894,9.901370697674418,value
p112,46.225998,4761.1436,464.0,4714.917602,10.161460349137933,value
z122,0.0,15102.44,1433.0,15102.44,10.53903698534543,value
p123,3534.9717,14720.085,989.0,11185.113299999999,11.309517997977755,value
p117,4.872,322.32812,28.0,317.45612,11.33771857142857,value
p100,102.355,2440.2522,159.0,2337.8972,14.703755974842766,value
p118,9798.439,30240.396,749.0,20441.957000000002,27.29233244325768,value
