region,eue_mwh_per_year,mean_eue_mwh,total_eue_mwh,neue_ppm
p99,62156.479999999996,7.095488584474886,932347.2,255.09397396372876
p124,1623.5947999999999,0.18534187214611872,24353.922,1059.0424354105544
p113,988.7434,0.11287025114155251,14831.151,45.11024355572772
p126,847.7445333333333,0.0967744901065449,12716.168,6.970461333636209
p118,653.2292666666667,0.0745695509893455,9798.439,16.80377761081842
p125,261.2733533333333,0.029825725266362253,3919.1003,15.132429112426784
p123,235.66478,0.026902372146118722,3534.9717,2.351231346720937
p111,123.229,0.014067237442922374,1848.435,1.3645595801984332
p114,11.989266666666667,0.0013686377473363775,179.839,0.3522840233644902
p100,6.823666666666667,0.0007789573820395738,102.355,0.8275428377018346
p112,3.0817332,0.0003517960273972603,46.225998,0.035284346766691656
p109,0.9223999666666667,0.000105296799847793,13.8359995,0.012310594915126203
p117,0.3248,3.7077625570776256e-05,4.872,0.01858393256534749
p120,0.22046666666666667,2.5167427701674277e-05,3.307,0.07646817744538849
p110,0.0,0.0,0.0,0.0
p115,0.0,0.0,0.0,0.0
p116,0.0,0.0,0.0,0.0
p121,0.0,0.0,0.0,0.0
z122,0.0,0.0,0.0,0.0
