region,base_eue,case_eue,rel,category
p99,9757.283,932347.2,94.55397747508194,ratio
p124,2858.5781,24353.922,7.519593010245198,ratio
p113,2220.9807,14831.151,5.677748708036949,ratio
p126,667.57996,12716.168,18.048157167569858,ratio
p118,771.09796,9798.439,11.707126082916886,ratio
p125,51.889008,3919.1003,74.52852619576,ratio
p123,35.186005,3534.9717,99.46527589591372,ratio
p111,92.018,1848.435,19.08775456975809,ratio
p114,15.667,179.839,10.478840875726048,ratio
p100,2.8179998,102.355,35.321862052651674,ratio
p112,2.283,46.225998,19.2479185282523,ratio
p109,0.0,13.8359995,,new
p117,1.258,4.872,2.872813990461049,ratio
p120,0.008,3.307,412.375,ratio
p110,0.0,0.0,,none
p115,0.0,0.0,,none
p116,0.0,0.0,,none
p121,0.0,0.0,,none
z122,0.0,0.0,,none
