scenario,dimension,bin,eue_mwh,share
base,weather_year,2007,165.33599999999998,0.010034564064903969
base,weather_year,2008,115.361,0.007001483918150838
base,weather_year,2009,8328.008,0.5054430360540522
base,weather_year,2010,270.915,0.016442359338821908
base,weather_year,2011,271.691,0.01648945629117569
base,weather_year,2012,131.54,0.007983418959557918
base,weather_year,2013,217.10999999999999,0.013176829027745323
base,weather_year,2016,94.494,0.005735025020255937
base,weather_year,2017,780.935,0.04739646712165397
base,weather_year,2018,1321.1,0.08018013370436343
base,weather_year,2019,4001.207,0.2428410508204034
base,weather_year,2020,163.227,0.009906564744653797
base,weather_year,2021,122.212,0.007417284460129941
base,weather_year,2022,68.534,0.004159462026564866
base,weather_year,2023,424.98,0.025792864447566708
base,month,1,14121.419,0.8570564404778883
base,month,2,74.347,0.00451226432557589
base,month,3,2.765,0.00016781323873481564
base,month,5,0.506,3.0710126148215804e-05
base,month,6,8.573,0.0005203120780012927
base,month,7,518.918,0.03149414474422895
base,month,8,345.634,0.02097720106939214
base,month,9,531.308,0.03224611799121787
base,month,10,22.256,0.0013507600149302193
base,month,11,206.231,0.012516561315558682
base,month,12,644.693,0.039127674618323505
base,hour_local,0,890.5060000000001,0.05404654465561872
base,hour_local,1,5635.24,0.3420136981728689
base,hour_local,2,4818.836,0.2924645483153433
base,hour_local,3,110.135,0.006684307793149701
base,hour_local,4,77.739,0.004718131416276974
base,hour_local,5,27.201,0.0016508817022877834
base,hour_local,6,19.339000000000002,0.0011737215999611575
base,hour_local,7,20.289,0.001231378951425199
base,hour_local,8,16.625,0.001009003650620727
base,hour_local,9,21.974999999999998,0.001333705577286645
base,hour_local,10,31.321,0.0019009325317949951
base,hour_local,11,36.083,0.0021899475925021166
base,hour_local,12,488.246,0.02963260128727624
base,hour_local,13,700.255,0.04249984068363412
base,hour_local,14,814.288,0.049420725693633115
base,hour_local,15,756.571,0.0459177684784225
base,hour_local,16,566.164,0.03436159656240802
base,hour_local,17,191.023,0.011593558156542744
base,hour_local,18,197.57399999999998,0.011991151113848993
base,hour_local,19,183.137,0.011114941447442291
base,hour_local,20,192.425,0.01167864826891389
base,hour_local,21,191.488,0.01162177991278567
base,hour_local,22,202.015,0.01226068405895616
base,hour_local,23,288.175,0.017489902377000183
base,season,fall,759.795,0.04611343932170677
base,season,spring,3.271,0.0001985233648830314
base,season,summer,873.125,0.052991657891622385
base,season,winter,14840.459,0.9006963794217878
high,weather_year,2007,28135.122,0.02803141328327066
high,weather_year,2008,20282.668,0.020207904170288254
high,weather_year,2009,140824.903,0.1403058091082563
high,weather_year,2010,30866.463,0.030752686302401046
high,weather_year,2011,59614.504,0.05939475930835458
high,weather_year,2012,40791.421,0.04064105996991539
high,weather_year,2013,48956.854,0.04877639441274654
high,weather_year,2016,38845.445,0.038702257021226344
high,weather_year,2017,76486.853,0.07620491523654209
high,weather_year,2018,199736.882,0.19900063299010626
high,weather_year,2019,173490.085,0.1728505841625551
high,weather_year,2020,29662.8,0.029553460117891114
high,weather_year,2021,29891.299,0.029781116848998024
high,weather_year,2022,39957.688,0.039810400188489845
high,weather_year,2023,46156.745,0.0459866068789585
high,month,1,539091.145,0.5371040041285973
high,month,2,7857.155,0.007828192784652452
high,month,3,1838.941,0.0018321624898072603
high,month,4,20.082,2.0007975851487026e-05
high,month,5,3594.3489999999997,0.0035810998901412475
high,month,6,29557.451,0.02944849944425411
high,month,7,194151.518,0.19343585716928338
high,month,8,125877.932,0.12541393405493106
high,month,9,41099.324,0.0409478280103795
high,month,10,810.33,0.0008073430470936899
high,month,11,2177.67,0.002169642902724218
high,month,12,57623.835,0.05741142810228427
high,hour_local,0,59877.379,0.05965666532627907
high,hour_local,1,98630.895,0.09826733220648105
high,hour_local,2,80660.343,0.08036302135826413
high,hour_local,3,20260.939000000002,0.020186255265434303
high,hour_local,4,10819.847,0.010779964022148408
high,hour_local,5,5934.285,0.005912410665065316
high,hour_local,6,1967.296,0.001960044361155613
high,hour_local,7,859.754,0.0008565848655621639
high,hour_local,8,1296.107,0.0012913294271956624
high,hour_local,9,2301.138,0.0022926557880160914
high,hour_local,10,3172.0009999999997,0.0031603087047551385
high,hour_local,11,8354.56,0.008323764302848294
high,hour_local,12,44842.492,0.04467719833963251
high,hour_local,13,234646.923,0.23378199228213004
high,hour_local,14,158616.877,0.15803220021184583
high,hour_local,15,57475.561,0.05726370065425104
high,hour_local,16,37946.243,0.037806369564717585
high,hour_local,17,30364.655,0.030252728014079012
high,hour_local,18,24481.097999999998,0.02439085836081502
high,hour_local,19,18539.744,0.018471404752751292
high,hour_local,20,21893.644,0.02181294196061417
high,hour_local,21,23736.782,0.023649285979883073
high,hour_local,22,23985.113,0.02389670160836508
high,hour_local,23,33036.056,0.032914281977710035
high,season,fall,44087.324,0.04392481396019741
high,season,spring,5453.371999999999,0.005433270355799994
high,season,summer,349586.901,0.34829829066846857
high,season,winter,604572.135,0.602343625015534
