region,load_mwh,mean_margin_mw,min_margin_mw,import_cap_mw,eue_mwh,added_peak_mw,added_mean_mw,added_share_of_base_peak,region_neue_ppm,share_of_system_eue,share_of_system_load,share_of_added_load
p99,3654916600.0,-7797.9526,-21206.0,16390.443,932347.131,4696.0,3922.4492,0.12979189,255.09395452669108,0.9289104114257151,0.21788386,0.4652029897218718
p124,22996172.0,1156.4669,-167.0,80.0,24353.903,30.0,24.677832,0.13215859,1059.0416091860855,0.02426413221359712,0.0013708916,0.0029267941127839405
p113,328775680.0,554.40027,-1993.0,4121.73,14831.150000000001,116.0,102.07595,0.026851851,45.11024051414022,0.014776480980469167,0.019599602,0.012106221061754043
p126,1824293600.0,3667.358,-10209.0,8888.033,12716.167,157.0,-23.993067,0.0060690404,6.970460663209726,0.012669294007542884,0.108753264,-0.0028455808939468687
p118,583109300.0,-2187.3813,-5132.0,8323.003,9798.439,749.0,625.79297,0.1297419,16.803777265007902,0.009762321028496598,0.03476142,0.0742191283422943
p125,258986860.0,1260.6144,-992.0,5633.449,3919.1,9.0,6.996895,0.0023358422,15.132427720349554,0.003904653827286266,0.015439218,0.0008298326649507701
p123,1503455500.0,6095.692,-3132.0,15359.966,3534.972,989.0,826.88855,0.05035898,2.3512315650278834,0.0035219417593707197,0.089626856,0.09806909051283148
p111,1354601900.0,3817.944,-4606.0,13153.982,1848.435,480.0,420.55707,0.026970837,1.3645596245218787,0.0018416214940266615,0.0807531,0.0498781236765719
p114,510494340.0,2757.6438,-385.0,6718.782,179.839,181.0,158.48904,0.026990755,0.35228402612482657,0.00017917609646228339,0.030432561,0.018796820936813997
p100,123685440.0,494.50232,77.0,7150.809,102.355,159.0,132.73979,0.12979592,0.8275428377018346,0.00010197770980375234,0.007373372,0.015742956508666427
p112,1310099300.0,7063.3994,-2760.0,26096.941,46.226,464.0,406.73874,0.026957937,0.035284347539181395,4.605560659848816e-05,0.07810014,0.048239267925689666
p109,1123909900.0,10275.14,2358.0,4438.101,13.836,181.0,150.13535,0.011607773,0.012310595491442105,1.3784999197349591e-05,0.06700066,0.01780607220685984
p117,262161950.0,2954.8184,1591.0,13569.843,4.872,28.0,24.08933,0.008649984,0.018583932423573046,4.854041347895866e-06,0.015628498,0.0028569976983759985
p120,43246748.0,578.6806,86.0,239.46576,3.307,24.0,20.216202,0.04255319,0.07646817744538849,3.2948100856920423e-06,0.0025781074,0.002397644209444773
p110,99486340.0,2413.7158,1739.0,690.76843,0.0,16.0,13.287702,0.011585807,0.0,0.0,0.005930769,0.0015759232004670181
p115,604805100.0,13722.164,10179.0,11474.898,0.0,329.0,282.65128,0.041756567,0.0,0.0,0.036054794,0.03352247889015717
p116,404781700.0,6100.5054,3612.0,26806.637,0.0,43.0,37.200397,0.0086034415,0.0,0.0,0.024130618,0.004411971964669562
p121,126688130.0,6622.709,5164.0,11519.955,0.0,83.0,69.679146,0.050151058,0.0,0.0,0.007552374,0.00826395585708715
z122,2634114000.0,17604.527,1832.0,20121.156,0.0,1433.0,1231.0215,0.04176016,0.0,0.0,0.15702982,0.1459993114026571
