case_id,neue_ppm_registry,eue_mean_mwh_registry,neue_ppm_cases_csv,eue_mean_mwh_cases_csv,neue_abs_diff,mismatch
baseline,0.0,0.0,0.0,0.0,0.0,False
baseline_with_load_added,0.0,0.0,0.0,0.0,0.0,False
shift_4h_all_0.05,0.0,0.0,0.0,0.0,0.0,False
shift_4h_all_0.10,0.0,0.0,0.0,0.0,0.0,False
shift_4h_all_0.20,0.0,0.0,0.0,0.0,0.0,False
shift_4h_all_0.30,0.0,0.0,0.0,0.0,0.0,False
shift_4h_all_0.40,0.0,0.0,0.0,0.0,0.0,False
shift_4h_all_0.50,0.0,0.0,0.0,0.0,0.0,False
shift_4h_all_0.60,0.0,0.0,0.0,0.0,0.0,False
shift_4h_all_0.70,0.0,0.0,0.0,0.0,0.0,False
shift_4h_all_0.80,0.0,0.0,0.0,0.0,0.0,False
shift_4h_all_0.90,0.0,0.0,0.0,0.0,0.0,False
shift_4h_all_1.00,0.0,0.0,0.0,0.0,0.0,False
shift_8h_all_0.05,0.0,0.0,0.0,0.0,0.0,False
shift_8h_all_0.10,0.0,0.0,0.0,0.0,0.0,False
shift_8h_all_0.20,0.0,0.0,0.0,0.0,0.0,False
shift_8h_all_0.30,0.0,0.0,0.0,0.0,0.0,False
shift_8h_all_0.40,0.0,0.0,0.0,0.0,0.0,False
shift_8h_all_0.50,0.0,0.0,0.0,0.0,0.0,False
shift_8h_all_0.60,0.0,0.0,0.0,0.0,0.0,False
shift_8h_all_0.70,0.0,0.0,0.0,0.0,0.0,False
shift_8h_all_0.80,0.0,0.0,0.0,0.0,0.0,False
shift_8h_all_0.90,0.0,0.0,0.0,0.0,0.0,False
shift_8h_all_1.00,0.0,0.0,0.0,0.0,0.0,False
