case_id,neue_ppm_registry,eue_mean_mwh_registry,neue_ppm_cases_csv,eue_mean_mwh_cases_csv,neue_abs_diff,mismatch
baseline,1.0517002801340658,16476.65,1.0517002801340658,16476.65,0.0,False
baseline_with_load_added,59.83446814944777,1003699.7319999998,59.83446814944777,1003699.7319999998,0.0,False
shed_16h_all_0.05,52.44957295627624,879821.012,52.44957295627624,879821.012,0.0,False
shed_16h_all_0.10,46.232760934658664,775536.429,46.23276093465866,775536.429,7.105427357601002e-15,False
shed_16h_all_0.20,37.16348370089943,623402.861,37.16348370089943,623402.861,0.0,False
shed_16h_all_0.30,31.23692424900377,523987.15100000007,31.23692424900377,523987.15100000007,0.0,False
shed_16h_all_0.40,27.365336129540278,459042.779,27.36533612954028,459042.779,3.552713678800501e-15,False
shed_16h_all_0.50,24.833804860315873,416577.33499999996,24.833804860315876,416577.335,3.552713678800501e-15,False
shed_16h_all_0.60,23.171891363019558,388699.388,23.17189136301956,388699.388,3.552713678800501e-15,False
shed_16h_all_0.70,22.08846620688826,370525.356,22.08846620688826,370525.356,0.0,False
shed_16h_all_0.80,21.3724999564343,358515.30299999996,21.3724999564343,358515.303,0.0,False
shed_16h_all_0.90,20.915303274223554,350846.00800000003,20.915303274223557,350846.00800000003,3.552713678800501e-15,False
shed_16h_all_1.00,20.637809929839843,346191.16599999997,20.637809929839843,346191.166,0.0,False
shed_1h_timeseries,5.960335681366163,99982.293,,,,True
shed_4h_all_0.05,59.28246120249022,994440.032,59.28246120249022,994440.032,0.0,False
shed_4h_all_0.10,58.55487339860705,982235.032,58.55487339860705,982235.032,0.0,False
shed_4h_all_0.20,57.2991577754588,961170.895,57.2991577754588,961170.895,0.0,False
shed_4h_all_0.30,56.28667770603738,944186.939,56.28667770603738,944186.939,0.0,False
shed_4h_all_0.40,55.48351955080362,930714.2760000001,55.48351955080362,930714.276,0.0,False
shed_4h_all_0.50,54.85655240089142,920197.1479999998,54.85655240089142,920197.1479999998,0.0,False
shed_4h_all_0.60,54.37966184533964,912197.496,54.37966184533964,912197.496,0.0,False
shed_4h_all_0.70,54.04047322816052,906507.74,54.04047322816052,906507.74,0.0,False
shed_4h_all_0.80,53.82002610598037,902809.8260000001,53.82002610598037,902809.826,0.0,False
shed_4h_all_0.90,53.6851081373284,900546.63,53.6851081373284,900546.63,0.0,False
shed_4h_all_1.00,53.60662755399011,899230.1490000001,53.60662755399011,899230.1490000001,0.0,False
shed_8h_all_0.05,52.97723680045916,888672.3659999999,52.97723680045916,888672.3659999999,0.0,False
shed_8h_all_0.10,47.22237674363653,792136.8459999999,47.22237674363653,792136.8459999999,0.0,False
shed_8h_all_0.20,38.92616575428401,652971.161,38.92616575428401,652971.161,0.0,False
shed_8h_all_0.30,33.58772068087057,563420.839,33.58772068087057,563420.839,0.0,False
shed_8h_all_0.40,30.15639919049503,505861.76700000005,30.15639919049503,505861.7670000001,0.0,False
shed_8h_all_0.50,27.94801449416975,468816.98,27.94801449416975,468816.98,0.0,False
shed_8h_all_0.60,26.522634396856766,444906.78800000006,26.52263439685677,444906.78800000006,3.552713678800501e-15,False
shed_8h_all_0.70,25.608156142223656,429566.77400000003,25.608156142223656,429566.774,0.0,False
shed_8h_all_0.80,25.006510120937026,419474.398,25.006510120937023,419474.398,3.552713678800501e-15,False
shed_8h_all_0.90,24.612720823092967,412868.73699999996,24.612720823092967,412868.737,0.0,False
shed_8h_all_1.00,24.366858561146998,408744.494,24.366858561147,408744.494,3.552713678800501e-15,False
shift_16h_all_0.05,53.13795251096832,891368.309,53.13795251096832,891368.309,0.0,False
shift_16h_all_0.10,47.59216548024804,798339.9070000001,47.59216548024804,798339.9070000001,0.0,False
shift_16h_all_0.20,39.728251157159654,666425.829,39.72825115715965,666425.829,7.105427357601002e-15,False
shift_16h_all_0.30,34.765255280591575,583173.52,34.765255280591575,583173.52,0.0,False
shift_16h_all_0.40,31.650407777872353,530923.175,31.650407777872356,530923.175,3.552713678800501e-15,False
shift_16h_all_0.50,29.730316261188044,498714.393,29.730316261188044,498714.393,0.0,False
shift_16h_all_0.60,28.546980870082795,478864.40599999996,28.546980870082795,478864.406,0.0,False
shift_16h_all_0.70,27.814047665494112,466569.73900000006,27.814047665494112,466569.73900000006,0.0,False
shift_16h_all_0.80,27.285209844529387,457698.692,27.285209844529387,457698.692,0.0,False
shift_16h_all_0.90,26.879109379514585,450886.516,26.879109379514585,450886.516,0.0,False
shift_16h_all_1.00,26.578451797478877,445843.103,26.57845179747888,445843.103,3.552713678800501e-15,False
shift_4h_all_0.05,54.86219229432543,920291.755,54.86219229432543,920291.755,0.0,False
shift_4h_all_0.10,50.80474552171213,852229.6769999999,50.80474552171213,852229.6769999999,0.0,False
shift_4h_all_0.20,45.4683147427932,762713.144,45.4683147427932,762713.144,0.0,False
shift_4h_all_0.30,42.62040182786317,714940.522,42.62040182786317,714940.522,0.0,False
